name,reviews
Shelly Richey,Love there service I've used them for 5 years
Patricia Baker,So far I love it.  I haven't had a bad experience yet.!!  They are very helpful.
ManMan Sellars,Easy and inexpensive way to receive a loan.
Frankie Sutton,Love this app. I like that you have more things to do on the app
Edie Campbell,Positively the best help build credit plus help out when in jam
Stephen Leach,I love this app!! It is always there when I need a little help.
Taylor Elizabeth Baker,Great app when you need a little help to make it to Friday
Skyler Helton,Money lion is good to use i really enjoy the app the extra cash really works
Jason Chapa,Easy process. Great tools to help with budgeting.
Bradley Hudgens,Money lion is the best app u could ever use
Amanda Lawrence,Roar money is awesome I would not recommend any other bank 💰
Vianca Vidal,I love you guy’s service.Overall the best app out!!
Robin Fulford,Great. Moved my banking account over to this app
Marcus Peoples,"Very easy, and convenient to use.Helps build your credit."
Heather Robisheaux,"The service is super easy, fast, and the app is really easy to navigate."
Ray Calhoun,Money lion gives you so many options financially.
Tonja Forest,"I have been using instacash for 6 months or so.  My limit was $165 to 185.  I always paid it back early.  Also I make A DAILY DIRECT DEPOSIT OF $100 OR MORE!  Suddenly my instacash amount is $115!  I call cust svc and speak with Angel.  She tells me that its been reduced because a few repayments ""failed"".  I told her that was a mistake.  After asking her to look my account records she said she sees that I deposit daily and ALL MY PAYMENTS HAVE BEEN ON TIME OR EARLY!  She still can't tell me why my instacash was reduced.  After demanding to speak to a supervisor and being on hold for 40 minutes, a supervisor named Jack gets on the phone.  I let him know I love the instacash feature and have raved to my friends and family about MoneyLion.  In fact at least 7 friends have become MoneyLion customers.  After reviewing my account in a nutshell he tells me my limit was lowered because the higher limit was to ""entice"" me as a new customer and even though I DIRECT DEPOSIT OVER $100 EVERY DAY THE LIMIT WAS REDUCED TO $115 BECAUSE OF THEIR ALGORITHM!  I told him that is not stated anywhere.  He said that the enticement method is told to the customer at MoneyLion's discretion.  If I want a higher limit. I should make my direct deposits once a week or every other week.  THAT MAKES NO SENSE!!!!  MY DAILY DEPOSITS HAVE BEEN FINE TO GET THE HIGHER AMOUNT FOR THE LAST 6 MONTHS!  I let Jack know I was unhappy with this and it is not right that the company ""entices"" (his word, not mine) and then suddenly drops your borrowing power without disclosing this info upfront. I asked him how would he feel if he was the customer?  With that he ended the call and hung up on me!"
Dana Hall,Helped me with an advance so I wasn't struggling so much before payday
Brenda Mantia,I understand how to use it and it gives good goal making decisions
David Naumann,Loving this so far and better then expected in all ways!!!
Fatima Burkes,Tried the transfer options and went smooth
Stanley Lee,MoneyLion is a lifesaver when you need cash in a pinch!
Michael Sawa,"Always available, always ready, and always very giving."
Frankie Smith,I like it but but it could be a little better
Misty Thornbrough,"Great for cash advance, and managing spending"
James winemiller,Great company- truly helps out in a pinch!
Lisa,Was able to receive Month right after I paid it off!
Brandon Ao,This is a great app. I been telling everyone about it.
Jake Holmes Jake Barz,This app has truly helped in times of need
Phil Hooker,"Love moneylion, best banking app out there!"
Maria,Help me wen I need it!! 🥰😍
Kaylen Cheyanne,I'm still trying it out but so far so good
neil lewis,They've just bee so helpful
Danny Farley,I like need more information
Hoard Roark,This is a very good app.
Kay Barkow,Love this app.
Bobby,Excellent customer service
Cj,Helped me out greatly
Jenn jenn,Absolutely Great !!!!!
chad stallworth,Amazing service
Erica Earley,Great loved it
Lisa Firmin,Fair and helpful
Alexandra Gomez,Very very good
Tonya Ring,Its alright 😊
Chastria Hong,"I’m retired and really struggling to keep my head above water. My check is all gone 2 days after it arrives. If it wasn’t for MoneyLion and my instant cash I would have no food, gas for my car and homeless.Thank you MoneyLion for being here for me!"
